,Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
391,Carolann,Raatz,Female,25,1979-02-26 00:00:00,Chief Design Engineer,,High Net Worth,N,No,21,817 Bunker Hill Place,3977,VIC,Australia,6,0.69,0.69,0.69,0.69,386.0,386,0.945625
392,Tamar,Windmill,Female,92,1939-08-28,Senior Editor,Manufacturing,Affluent Customer,N,No,10,4669 Troy Place,2207,NSW,Australia,10,0.71,0.71,0.8875,0.8875,386.0,386,0.945625
393,Kipp,Stockport,Male,36,1982-12-10,Data Coordiator,Retail,Mass Customer,N,Yes,6,02 Roth Drive,2022,NSW,Australia,11,0.89,1.1125,1.390625,1.1820312499999999,386.0,386,0.945625
394,Packston,Wackett,Male,10,1950-04-26,Quality Engineer,Financial Services,Mass Customer,N,No,19,7 Northridge Court,3192,VIC,Australia,9,0.66,0.66,0.8250000000000001,0.70125,386.0,386,0.945625
395,Hanson,Eastes,Male,74,1990-05-20,,Manufacturing,Mass Customer,N,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,0.54,0.675,0.84375,0.7171875,395.0,395,0.94
396,Demetria,Bausor,Female,73,1961-12-22,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,9,97 Transport Plaza,2097,NSW,Australia,12,0.88,1.1,1.375,1.16875,396.0,396,0.9375
397,Lura,Fawdrie,Female,66,2002-01-17,VP Sales,Health,Mass Customer,N,Yes,4,67183 Anniversary Parkway,4211,QLD,Australia,3,0.4,0.5,0.5,0.425,396.0,396,0.9375
398,Nora,Anselm,Female,84,1961-01-05,,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,0.83,1.0374999999999999,1.2968749999999998,1.2968749999999998,396.0,396,0.9375
399,Estevan,Eastment,Male,54,1942-08-09,Environmental Specialist,Health,Mass Customer,N,Yes,21,61926 Tomscot Hill,2019,NSW,Australia,8,0.44,0.55,0.55,0.4675,396.0,396,0.9375
400,Aloysius,Glowacz,Male,72,1979-03-24,Financial Advisor,Financial Services,Affluent Customer,N,No,18,07 Susan Lane,2232,NSW,Australia,10,0.7,0.7,0.875,0.875,396.0,396,0.9375
401,Bastien,Ibbeson,Male,53,1976-11-04,Software Consultant,IT,Mass Customer,N,No,12,43094 Kedzie Pass,2487,NSW,Australia,5,0.46,0.46,0.46,0.391,401.0,401,0.935
402,Otha,Langworthy,Female,91,1967-01-20,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,13,678 Lyons Trail,3130,VIC,Australia,10,0.82,1.025,1.28125,1.0890625,401.0,401,0.935
403,Gannie,Bargh,Male,56,1955-02-13,Analyst Programmer,,Mass Customer,N,Yes,13,1832 Burning Wood Place,3201,VIC,Australia,7,0.56,0.7000000000000001,0.7000000000000001,0.5950000000000001,401.0,401,0.935
404,Dwayne,Doel,Male,80,1978-01-21 00:00:00,Cost Accountant,Financial Services,Affluent Customer,N,Yes,17,5642 Debs Terrace,2223,NSW,Australia,11,1.07,1.3375000000000001,1.6718750000000002,1.6718750000000002,401.0,401,0.935
405,Leese,Huckleby,Female,67,1977-09-10,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,16,73 Riverside Trail,3777,VIC,Australia,7,0.47,0.5874999999999999,0.5874999999999999,0.5874999999999999,405.0,405,0.93
406,Dodi,Kiggel,Female,5,1980-08-15,,Financial Services,Mass Customer,N,Yes,13,05 Everett Trail,2114,NSW,Australia,11,0.68,0.8500000000000001,1.0625,0.903125,405.0,405,0.93
407,Kippar,Brimilcome,Male,21,1938-11-29,Graphic Designer,Health,Mass Customer,N,No,19,082 Welch Lane,2089,NSW,Australia,11,0.45,0.45,0.5625,0.47812499999999997,405.0,405,0.93
408,Corinna,Beretta,Female,24,1996-02-29,Programmer III,Health,High Net Worth,N,No,12,72 Mccormick Circle,3023,VIC,Australia,7,0.77,0.77,0.77,0.77,408.0,408,0.9296875
409,Laurie,Odlin,Female,75,1983-03-08,Social Worker,Health,High Net Worth,N,No,10,15669 Arizona Trail,3194,VIC,Australia,10,1.05,1.05,1.3125,1.3125,409.0,409,0.925
410,Mair,Erett,Female,15,1957-12-05,Speech Pathologist,,Affluent Customer,N,No,18,79 Armistice Parkway,2117,NSW,Australia,7,0.8,0.8,0.8,0.8,409.0,409,0.925
411,Marcelia,Copins,Female,81,1946-03-15,,,Mass Customer,N,Yes,21,330 Melby Terrace,2259,NSW,Australia,8,0.95,1.1875,1.484375,1.26171875,409.0,409,0.925
412,Tanner,Terlinden,Male,84,1995-12-09,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,2637 Monument Trail,3106,VIC,Australia,11,0.44,0.44,0.55,0.4675,409.0,409,0.925
413,Hilliard,Dullard,Male,65,1954-07-18,Civil Engineer,Manufacturing,Mass Customer,N,No,17,37919 Old Gate Park,2163,NSW,Australia,8,0.7,0.7,0.7,0.595,409.0,409,0.925
414,Justinn,Haruard,Female,48,1958-08-28,Health Coach IV,Health,High Net Worth,N,No,11,00 Judy Terrace,2035,NSW,Australia,12,0.9,0.9,1.125,1.125,414.0,414,0.924375
415,Wyn,Meach,Male,37,1938-09-10,,Manufacturing,Mass Customer,N,No,9,79 Armistice Junction,2765,NSW,Australia,9,1.0,1.0,1.25,1.0625,415.0,415,0.9218749999999999
416,Art,Shardlow,Male,57,1963-10-15,Data Coordiator,Argiculture,Mass Customer,N,Yes,15,7 Clemons Circle,4350,QLD,Australia,2,0.75,0.9375,0.9375,0.796875,415.0,415,0.9218749999999999
417,Dennis,Varnham,Male,57,1953-05-17,Assistant Media Planner,Entertainment,Affluent Customer,N,No,17,6455 Mayfield Street,3350,VIC,Australia,3,1.01,1.01,1.01,1.01,415.0,415,0.9218749999999999
418,Freddi,Litherborough,Female,46,1989-01-14,Product Engineer,Financial Services,Mass Customer,N,No,7,7873 Meadow Vale Plaza,2460,NSW,Australia,3,0.59,0.59,0.59,0.5015,418.0,418,0.918
419,Salomon,Perkins,Male,76,1998-01-12,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,45 Banding Hill,2009,NSW,Australia,10,0.65,0.8125,1.015625,1.015625,419.0,419,0.91640625
420,Sherill,,Female,33,1991-12-18,Information Systems Manager,Financial Services,Mass Customer,N,No,3,53 Moulton Avenue,2880,NSW,Australia,1,0.48,0.48,0.48,0.408,420.0,420,0.91375
421,Queenie,Learie,Female,90,1948-01-24,,Property,Mass Customer,N,No,12,7 Sauthoff Park,2073,NSW,Australia,11,0.97,0.97,1.2125,1.030625,420.0,420,0.91375
422,Etan,Prinett,Male,97,1970-01-21,Operator,Argiculture,Mass Customer,N,Yes,10,9082 Waywood Avenue,2250,NSW,Australia,8,0.57,0.7124999999999999,0.8906249999999999,0.7570312499999999,420.0,420,0.91375
423,Donaugh,Benedict,Male,3,1991-12-01,Systems Administrator III,Property,Mass Customer,N,No,12,30049 Brown Road,2233,NSW,Australia,9,1.1,1.1,1.375,1.16875,420.0,420,0.91375
424,Harwell,Kleinstein,Male,87,1993-10-18,Sales Representative,Retail,Affluent Customer,N,No,15,7 Huxley Trail,3818,VIC,Australia,5,1.06,1.06,1.3250000000000002,1.3250000000000002,420.0,420,0.91375
425,Cheston,Hritzko,Male,70,1945-11-08,Software Engineer III,Manufacturing,Mass Customer,N,Yes,19,3 Service Center,2127,NSW,Australia,9,0.89,1.1125,1.390625,1.1820312499999999,420.0,420,0.91375
426,Suzy,Trounson,Female,13,1947-07-19,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,20,0627 Golf Center,4152,QLD,Australia,9,0.52,0.65,0.8125,0.6906249999999999,420.0,420,0.91375
427,Jobie,Runacres,Female,96,1975-01-08,Developer IV,,Mass Customer,N,Yes,18,24960 Shopko Crossing,2528,NSW,Australia,7,0.95,1.1875,1.484375,1.26171875,427.0,427,0.9125
428,Guenna,Filisov,Female,52,1969-02-09,Chemical Engineer,Manufacturing,High Net Worth,N,No,13,43 Stoughton Drive,2154,NSW,Australia,9,0.41,0.41,0.5125,0.5125,427.0,427,0.9125
429,Opal,Cleare,Female,6,1977-09-26 00:00:00,Database Administrator II,Property,Affluent Customer,N,Yes,20,247 Blue Bill Park Parkway,2066,NSW,Australia,9,0.56,0.7000000000000001,0.8750000000000001,0.8750000000000001,429.0,429,0.91
430,Ottilie,Wanless,Female,51,1940-11-10,Environmental Specialist,,Affluent Customer,N,No,8,2 David Pass,2720,NSW,Australia,4,0.61,0.61,0.61,0.61,430.0,430,0.9095
431,Kipper,Circuit,Male,23,1974-12-12,Research Assistant IV,Argiculture,Mass Customer,N,Yes,4,3867 Barby Hill,2140,NSW,Australia,8,0.5,0.625,0.625,0.53125,430.0,430,0.9095
432,Marilin,Frome,Female,58,1975-12-22,Account Executive,IT,Mass Customer,N,Yes,17,52 Bobwhite Court,2219,NSW,Australia,9,0.4,0.5,0.625,0.53125,430.0,430,0.9095
433,Arel,Abramovitz,Male,72,1957-11-12,Nurse Practicioner,Health,Mass Customer,N,No,16,32249 Sycamore Way,4650,QLD,Australia,4,1.07,1.07,1.07,0.9095,433.0,433,0.90625
434,Kit,Easdon,Male,61,1978-10-26,Director of Sales,Property,Affluent Customer,N,No,12,3 Roth Junction,3156,VIC,Australia,8,1.03,1.03,1.03,1.03,433.0,433,0.90625
435,Gregg,Aimeric,U,52,,Internal Auditor,IT,Mass Customer,N,No,7,72423 Surrey Street,3753,VIC,Australia,5,1.01,1.01,1.01,0.8584999999999999,433.0,433,0.90625
436,Skipp,Swales,Male,15,1973-11-14 00:00:00,Community Outreach Specialist,Entertainment,High Net Worth,N,Yes,22,76 Green Ridge Drive,3029,VIC,Australia,7,0.55,0.6875,0.6875,0.6875,436.0,436,0.903125
437,Frederich,Glantz,Male,37,1997-08-27,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,10,9 Glacier Hill Circle,2762,NSW,Australia,8,0.5,0.625,0.625,0.625,436.0,436,0.903125
438,Rodolph,Denniss,Male,28,1974-08-07,Geologist III,Property,Affluent Customer,N,Yes,7,91281 Transport Center,3356,VIC,Australia,2,0.82,1.025,1.025,1.025,436.0,436,0.903125
439,Craggie,Dering,Male,47,1952-10-05,Actuary,Financial Services,Mass Customer,N,No,7,11 Paget Road,2125,NSW,Australia,10,0.58,0.58,0.725,0.61625,436.0,436,0.903125
440,Johna,Bunker,U,93,,Tax Accountant,IT,Mass Customer,N,Yes,14,3686 Waubesa Way,3065,VIC,Australia,6,0.55,0.6875,0.859375,0.73046875,436.0,436,0.903125
441,Giralda,MacPeake,Female,59,1941-04-04,Librarian,Entertainment,High Net Worth,N,Yes,14,6 Killdeer Way,2705,NSW,Australia,1,1.09,1.3625,1.3625,1.3625,441.0,441,0.901
442,Rodney,Trethewey,Male,16,1997-03-17,Software Consultant,Financial Services,Affluent Customer,N,No,15,737 Service Lane,3030,VIC,Australia,8,0.42,0.42,0.42,0.42,441.0,441,0.901
443,Theresina,,Female,30,1987-03-01,General Manager,Argiculture,Mass Customer,N,Yes,14,253 Katie Junction,2650,NSW,Australia,2,0.78,0.9750000000000001,0.9750000000000001,0.8287500000000001,441.0,441,0.901
444,Gleda,Howerd,Female,59,1964-01-22,Senior Developer,IT,Mass Customer,N,No,6,481 Moulton Place,2440,NSW,Australia,2,0.9,0.9,0.9,0.765,444.0,444,0.9
445,Melany,Ladewig,Female,76,1972-05-17,Research Associate,Financial Services,Mass Customer,N,Yes,10,3864 Sheridan Alley,4130,QLD,Australia,7,1.07,1.3375000000000001,1.3375000000000001,1.136875,444.0,444,0.9
446,Claudell,Rounsefell,Male,67,1993-11-27,VP Sales,Financial Services,Affluent Customer,N,No,8,61416 Karstens Place,4217,QLD,Australia,5,0.53,0.53,0.53,0.53,444.0,444,0.9
447,Garwin,Nurden,Male,54,1958-04-19,Programmer I,Property,High Net Worth,N,Yes,5,0 Union Parkway,3142,VIC,Australia,11,0.68,0.8500000000000001,1.0625,1.0625,444.0,444,0.9
448,Bunny,Leebetter,Female,83,1966-04-30,Quality Engineer,Manufacturing,High Net Worth,N,Yes,8,4 Lukken Lane,4301,QLD,Australia,4,0.86,1.075,1.34375,1.34375,444.0,444,0.9
449,Matias,Melloi,Male,61,1977-02-03,Legal Assistant,Retail,Affluent Customer,N,No,11,1507 Schlimgen Trail,2155,NSW,Australia,10,0.93,0.93,1.1625,1.1625,444.0,444,0.9
450,Sada,Dowyer,Female,47,1998-11-22,Human Resources Manager,,High Net Worth,N,Yes,3,4 Meadow Ridge Place,2090,NSW,Australia,10,0.68,0.8500000000000001,1.0625,1.0625,450.0,450,0.8999999999999999
451,Anet,Roseman,Female,84,1996-11-24,Programmer Analyst III,Financial Services,Mass Customer,N,No,9,31 Melody Circle,3814,VIC,Australia,4,0.52,0.52,0.65,0.5525,450.0,450,0.8999999999999999
452,Katie,Warhurst,Female,0,1991-12-02,Help Desk Operator,Retail,High Net Worth,N,Yes,14,96 Rutledge Drive,3064,VIC,Australia,5,0.92,1.1500000000000001,1.1500000000000001,1.1500000000000001,450.0,450,0.8999999999999999
453,Celia,Bryden,Female,12,1943-04-06,Chemical Engineer,Manufacturing,High Net Worth,N,No,21,2905 Towne Place,2114,NSW,Australia,9,0.85,0.85,1.0625,1.0625,450.0,450,0.8999999999999999
454,Stearne,Trolley,Male,42,1982-02-01,Automation Specialist IV,Financial Services,High Net Worth,N,No,14,638 Caliangt Avenue,2137,NSW,Australia,11,1.09,1.09,1.3625,1.3625,450.0,450,0.8999999999999999
455,Tristam,Larose,Male,70,1985-01-29,VP Accounting,Financial Services,Mass Customer,N,No,17,9645 Moose Terrace,2137,NSW,Australia,11,0.82,0.82,1.025,0.8712499999999999,455.0,455,0.8925
456,Laurena,,Female,21,1961-07-31,VP Sales,,High Net Worth,N,No,10,7 Messerschmidt Crossing,3810,VIC,Australia,6,0.41,0.41,0.41,0.41,455.0,455,0.8925
457,Heloise,Fairpool,Female,17,1976-09-07,Information Systems Manager,Manufacturing,High Net Worth,N,No,17,005 Loeprich Way,4680,QLD,Australia,3,0.81,0.81,0.81,0.81,455.0,455,0.8925
458,Dory,Malpass,Female,19,1972-08-27,,,Affluent Customer,N,Yes,13,3653 Steensland Road,4103,QLD,Australia,8,1.06,1.3250000000000002,1.3250000000000002,1.3250000000000002,455.0,455,0.8925
459,Marcellina,Baynton,Female,60,1947-03-11,Software Engineer III,Financial Services,Mass Customer,N,No,16,56 Comanche Terrace,3141,VIC,Australia,10,0.97,0.97,1.2125,1.030625,455.0,455,0.8925
460,Gregorius,Leal,Male,7,1951-04-29,,Retail,Affluent Customer,N,Yes,21,66 Merry Court,2033,NSW,Australia,12,0.94,1.1749999999999998,1.4687499999999998,1.4687499999999998,455.0,455,0.8925
461,Deana,Canton,Female,67,1974-11-25,,Property,Mass Customer,N,Yes,14,92 Ludington Street,4301,QLD,Australia,3,0.77,0.9625,0.9625,0.818125,455.0,455,0.8925
462,Kori,Sparsholt,Female,59,1940-05-19,Office Assistant II,,Mass Customer,N,Yes,19,37 Rigney Park,2171,NSW,Australia,9,0.87,1.0875,1.359375,1.15546875,455.0,455,0.8925
463,Lucky,Klainman,Female,24,1947-11-26,Chief Design Engineer,Retail,Mass Customer,N,No,8,0796 Barnett Plaza,3758,VIC,Australia,4,0.79,0.79,0.79,0.6715,455.0,455,0.8925
464,Erasmus,Olenchenko,Male,56,1965-02-03,Software Test Engineer IV,Property,Mass Customer,N,Yes,5,415 Rockefeller Trail,2484,NSW,Australia,7,0.82,1.025,1.025,0.8712499999999999,464.0,464,0.8906249999999999
465,Carita,Sand,Female,25,1977-03-20,Quality Engineer,Retail,Mass Customer,N,No,16,846 Loftsgordon Crossing,2154,NSW,Australia,11,1.03,1.03,1.2875,1.094375,464.0,464,0.8906249999999999
466,Lynnett,Tipper,Female,22,1993-08-03,Social Worker,Health,High Net Worth,N,Yes,2,9 Ridgeview Avenue,3109,VIC,Australia,10,0.9,1.125,1.40625,1.40625,466.0,466,0.89
467,Thorn,Stigers,Male,42,1972-05-19,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,19,6218 Delladonna Parkway,4115,QLD,Australia,8,0.88,0.88,0.88,0.748,466.0,466,0.89
468,Lela,Billing,Female,38,1970-12-17,Programmer Analyst III,,Mass Customer,N,Yes,18,095 Glacier Hill Circle,2571,NSW,Australia,7,0.72,0.8999999999999999,0.8999999999999999,0.7649999999999999,468.0,468,0.8898437499999999
469,Norah,Mapis,Female,75,2000-12-09,Assistant Manager,Argiculture,Mass Customer,N,No,10,057 Victoria Crossing,2263,NSW,Australia,9,0.64,0.64,0.8,0.68,468.0,468,0.8898437499999999
470,Moina,Rosenbaum,Female,50,2001-08-04,Graphic Designer,IT,Mass Customer,N,No,14,0 Memorial Road,3109,VIC,Australia,10,0.75,0.75,0.9375,0.796875,468.0,468,0.8898437499999999
471,Ceciley,Harg,Female,50,1990-10-19,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,409 Starling Lane,4172,QLD,Australia,7,0.89,1.1125,1.1125,0.945625,471.0,471,0.8875
472,Torry,de la Valette Parisot,Male,95,1967-03-14,VP Marketing,Telecommunications,Mass Customer,N,Yes,18,36963 Pierstorff Terrace,3168,VIC,Australia,9,0.54,0.675,0.84375,0.7171875,471.0,471,0.8875
473,Sigismund,Sedger,Male,9,1999-11-29,Accountant II,Manufacturing,Affluent Customer,N,No,7,8069 Sunbrook Way,2155,NSW,Australia,10,0.65,0.65,0.8125,0.8125,473.0,473,0.884
474,Irvine,Headon,Male,99,1956-04-21,Geologist III,IT,Affluent Customer,N,Yes,20,9 Hovde Way,2322,NSW,Australia,5,1.03,1.2875,1.609375,1.609375,473.0,473,0.884
475,Laurie,,Male,31,1979-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,15,94 Barby Lane,2210,NSW,Australia,10,1.02,1.275,1.59375,1.3546875,475.0,475,0.8818749999999999
476,Tomkin,Bernlin,Male,7,2001-12-29,Food Chemist,Health,Affluent Customer,N,Yes,9,0492 Kings Street,2480,NSW,Australia,3,0.64,0.8,0.8,0.8,475.0,475,0.8818749999999999
477,Genni,Fanstone,Female,25,1972-07-29,Administrative Assistant II,Entertainment,Mass Customer,N,No,16,1 Fair Oaks Alley,3149,VIC,Australia,10,1.08,1.08,1.35,1.1475,475.0,475,0.8818749999999999
478,Blondie,,Female,43,1995-10-03,Actuary,Financial Services,High Net Worth,N,No,11,780 Norway Maple Hill,2565,NSW,Australia,8,0.63,0.63,0.63,0.63,478.0,478,0.88
479,Aloysius,Killingsworth,Male,89,1957-02-14,VP Quality Control,,Mass Customer,N,No,12,625 Mandrake Junction,2145,NSW,Australia,9,0.42,0.42,0.525,0.44625,478.0,478,0.88
480,Carola,Philler,Female,73,1951-04-30,Dental Hygienist,Health,High Net Worth,N,No,15,1037 Roth Park,2145,NSW,Australia,7,0.55,0.55,0.55,0.55,478.0,478,0.88
481,Fitzgerald,Hellikes,Male,25,1979-07-28,Media Manager IV,Health,Mass Customer,N,Yes,10,315 Center Park,3040,VIC,Australia,7,0.74,0.925,0.925,0.78625,478.0,478,0.88
482,Ingmar,Okenden,Male,97,1959-03-01,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8,1 Graceland Plaza,3216,VIC,Australia,2,1.05,1.3125,1.640625,1.39453125,478.0,478,0.88
483,Tina,Dunstan,Female,13,1939-03-06,Account Representative IV,Retail,Affluent Customer,N,No,13,98555 Victoria Hill,2171,NSW,Australia,7,1.05,1.05,1.05,1.05,483.0,483,0.8765625
484,Huberto,Mollatt,Male,82,1961-08-27,Programmer IV,,Mass Customer,N,Yes,14,31121 Pierstorff Center,2770,NSW,Australia,7,1.07,1.3375000000000001,1.6718750000000002,1.42109375,483.0,483,0.8765625
485,Georgi,,Male,29,1970-01-14,Assistant Manager,Manufacturing,High Net Worth,N,No,11,59 Garrison Terrace,3215,VIC,Australia,4,1.02,1.02,1.02,1.02,485.0,485,0.8755
486,Adolpho,Bellerby,Male,46,1944-10-25,VP Sales,Financial Services,High Net Worth,N,Yes,13,2763 Buhler Circle,4305,QLD,Australia,4,0.76,0.95,0.95,0.95,486.0,486,0.875
487,Kelsey,Hatt,Female,69,1966-06-27,Senior Sales Associate,Financial Services,High Net Worth,N,No,8,309 Maple Wood Pass,3930,VIC,Australia,6,0.54,0.54,0.54,0.54,486.0,486,0.875
488,Lucien,,Male,83,1966-09-14,,Financial Services,High Net Worth,N,Yes,19,777 Fairfield Court,4305,QLD,Australia,3,0.63,0.7875,0.984375,0.984375,486.0,486,0.875
489,Ariel,McCloid,Male,4,1994-03-13,Human Resources Manager,,High Net Worth,N,Yes,6,99 Quincy Parkway,3630,VIC,Australia,1,1.1,1.375,1.375,1.375,486.0,486,0.875
490,Bevvy,Openshaw,Female,68,1975-06-15,Staff Scientist,,Affluent Customer,N,Yes,10,902 Westend Lane,2318,NSW,Australia,3,0.93,1.1625,1.1625,1.1625,486.0,486,0.875
491,Alexina,Mabley,Female,72,1975-10-12,Web Designer IV,Manufacturing,Mass Customer,N,Yes,10,9 Rieder Junction,2573,NSW,Australia,9,0.49,0.6125,0.765625,0.65078125,486.0,486,0.875
492,Dawn,Pyffe,Female,56,1965-05-28,Media Manager III,Retail,Mass Customer,N,No,11,734 Veith Way,3155,VIC,Australia,8,0.97,0.97,0.97,0.8245,492.0,492,0.8712499999999999
493,Claudette,Renackowna,Female,55,1996-02-11,Administrative Officer,Manufacturing,Mass Customer,N,No,2,0800 Dahle Alley,2148,NSW,Australia,8,0.78,0.78,0.78,0.663,492.0,492,0.8712499999999999
494,Elianora,Poolton,Female,15,1944-06-14,Programmer II,,Mass Customer,N,Yes,21,5 Macpherson Drive,3134,VIC,Australia,9,0.82,1.025,1.28125,1.0890625,494.0,494,0.867
495,Park,,Male,39,1977-11-08,Nurse Practicioner,IT,Affluent Customer,N,No,14,07 Boyd Drive,4350,QLD,Australia,7,0.87,0.87,0.87,0.87,495.0,495,0.86328125
496,Anthony,Lindstrom,Male,86,1997-11-01,Geologist IV,Financial Services,Affluent Customer,N,Yes,10,427 Oak Avenue,2205,NSW,Australia,10,0.87,1.0875,1.359375,1.359375,495.0,495,0.86328125
497,Liane,Poizer,Female,59,1952-05-05,Analyst Programmer,Property,High Net Worth,N,No,13,390 Express Plaza,2076,NSW,Australia,11,1.0,1.0,1.25,1.25,495.0,495,0.86328125
498,Romonda,Hallt,Female,69,1960-05-09,Operator,,Affluent Customer,N,No,15,703 Ludington Plaza,2480,NSW,Australia,4,0.9,0.9,0.9,0.9,498.0,498,0.8606250000000001
499,Sula,Thomann,Female,56,1989-03-17,Assistant Manager,,Mass Customer,N,No,6,7 Dayton Circle,2160,NSW,Australia,9,0.47,0.47,0.5874999999999999,0.4993749999999999,498.0,498,0.8606250000000001
500,Renell,Earley,Female,5,1954-10-21,Compensation Analyst,Financial Services,Mass Customer,N,Yes,11,79 Manufacturers Plaza,4171,QLD,Australia,5,0.92,1.1500000000000001,1.1500000000000001,0.9775,500.0,500,0.86
501,Cliff,Philipsson,Male,82,1967-02-02,Structural Analysis Engineer,Argiculture,Mass Customer,N,No,16,600 Artisan Drive,3149,VIC,Australia,10,0.73,0.73,0.9125,0.775625,500.0,500,0.86
502,Clevey,Aisthorpe,Male,27,1976-09-20,Software Consultant,,Mass Customer,N,Yes,8,0 Veith Way,2009,NSW,Australia,9,1.06,1.3250000000000002,1.6562500000000002,1.4078125000000001,502.0,502,0.8584999999999999
503,Cariotta,,Female,10,1974-08-19 00:00:00,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,2336 Continental Point,2527,NSW,Australia,7,0.4,0.5,0.5,0.5,502.0,502,0.8584999999999999
504,George,Jose,Male,68,1960-12-19,Payment Adjustment Coordinator,Retail,High Net Worth,N,Yes,20,535 Corben Point,4680,QLD,Australia,4,0.83,1.0374999999999999,1.0374999999999999,1.0374999999999999,504.0,504,0.8500000000000001
505,Kissiah,Foat,Female,30,1975-09-11 00:00:00,Graphic Designer,,Mass Customer,N,Yes,19,1690 Forster Place,2281,NSW,Australia,9,0.7,0.875,1.09375,0.9296875,504.0,504,0.8500000000000001
506,Milty,Brauninger,Male,13,1945-07-10,Payment Adjustment Coordinator,,High Net Worth,N,No,11,54 6th Trail,2640,NSW,Australia,7,0.81,0.81,0.81,0.81,504.0,504,0.8500000000000001
507,Killian,Nettles,Male,44,1980-09-01,Marketing Assistant,,Affluent Customer,N,No,4,16 Pepper Wood Junction,3803,VIC,Australia,7,0.58,0.58,0.58,0.58,507.0,507,0.85
508,Fredia,Favelle,Female,94,1974-08-29 00:00:00,Teacher,,Mass Customer,N,Yes,19,4 Arapahoe Terrace,4014,QLD,Australia,8,0.74,0.925,1.15625,0.9828125,507.0,507,0.85
509,Katleen,Arnoult,Female,6,1976-11-24 00:00:00,VP Product Management,Manufacturing,Mass Customer,N,Yes,13,540 Farragut Avenue,2066,NSW,Australia,9,0.79,0.9875,1.234375,1.0492187499999999,507.0,507,0.85
510,Gaultiero,Fibbens,Male,41,1980-03-14,Help Desk Technician,,Affluent Customer,N,No,9,938 Bartillon Hill,2035,NSW,Australia,11,0.91,0.91,1.1375,1.1375,507.0,507,0.85
511,Inglebert,Aspinal,Male,4,1973-10-13,Financial Analyst,Financial Services,Mass Customer,N,No,11,612 Annamark Center,2176,NSW,Australia,8,0.92,0.92,0.92,0.782,507.0,507,0.85
512,Jammal,Devenny,Male,57,1999-05-14,Marketing Manager,Retail,High Net Worth,N,No,12,18 Sage Plaza,3152,VIC,Australia,9,0.77,0.77,0.9625,0.9625,507.0,507,0.85
513,Adriane,Richardson,Female,81,1976-03-10 00:00:00,Data Coordiator,Manufacturing,High Net Worth,N,No,9,4 Randy Street,3070,VIC,Australia,8,0.77,0.77,0.9625,0.9625,513.0,513,0.8415
514,Jodi,Lermit,Female,94,1954-01-30,,Health,Mass Customer,N,Yes,10,05 Corry Center,4021,QLD,Australia,2,0.93,1.1625,1.453125,1.23515625,513.0,513,0.8415
515,Emelia,Ackwood,Female,72,1988-09-30,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,10,1 South Street,4183,QLD,Australia,9,0.53,0.6625000000000001,0.8281250000000001,0.7039062500000001,515.0,515,0.839375
516,Andee,Huke,Female,91,1971-06-28,,Manufacturing,Mass Customer,N,No,9,4810 Kim Park,3858,VIC,Australia,2,0.89,0.89,1.1125,0.945625,515.0,515,0.839375
517,Isa,Fominov,Male,75,2001-06-21,Physical Therapy Assistant,,Mass Customer,N,Yes,5,80388 Ryan Place,2010,NSW,Australia,9,0.66,0.8250000000000001,1.03125,0.8765625,515.0,515,0.839375
518,Zabrina,Margram,Female,87,1964-05-15,,Manufacturing,High Net Worth,N,Yes,11,1092 Kinsman Parkway,4053,QLD,Australia,8,1.08,1.35,1.6875,1.6875,515.0,515,0.839375
519,Maddalena,Angood,Female,79,1999-07-28,,Manufacturing,Affluent Customer,N,No,12,1 Bluejay Court,2320,NSW,Australia,4,0.94,0.94,0.94,0.94,515.0,515,0.839375
520,Sofie,Worsfold,Female,87,1954-10-06,Environmental Tech,Retail,Mass Customer,N,Yes,9,7 Maple Wood Plaza,4125,QLD,Australia,6,0.66,0.8250000000000001,1.03125,0.8765625,520.0,520,0.8375
